GEO_ID,STATE,COUNTY,TRACT,NAME,WATER_TRACT,POPUNI,PRED0_E,PRED0_M,PRED0_PE,PRED0_PM,PRED12_E,PRED12_M,PRED12_PE,PRED12_PM,PRED3_E,PRED3_M,PRED3_PE,PRED3_PM
1400000US12086000107,12,86,107,"Census Tract 1.07, Miami-Dade County, Florida",,2946,777,395,26.37,13.41,1597,406,54.21,13.78,572,325,19.42,11.03
1400000US12086000109,12,86,109,"Census Tract 1.09, Miami-Dade County, Florida",,3618,690,496,19.07,13.71,1622,530,44.83,14.65,1306,427,36.1,11.8
1400000US12086000115,12,86,115,"Census Tract 1.15, Miami-Dade County, Florida",,3117,891,403,28.59,12.93,1802,415,57.81,13.31,424,334,13.6,10.72
1400000US12086000118,12,86,118,"Census Tract 1.18, Miami-Dade County, Florida",,1383,478,240,34.56,17.35,513,247,37.09,17.86,392,202,28.34,14.61
1400000US12086000120,12,86,120,"Census Tract 1.20, Miami-Dade County, Florida",,4658,1426,682,30.61,14.64,1677,731,36,15.69,1555,610,33.38,13.1
1400000US12086000121,12,86,121,"Census Tract 1.21, Miami-Dade County, Florida",,1726,623,230,36.1,13.33,844,249,48.9,14.43,259,218,15.01,12.63
1400000US12086000122,12,86,122,"Census Tract 1.22, Miami-Dade County, Florida",,4124,821,520,19.91,12.61,2022,589,49.03,14.28,1281,532,31.06,12.9
1400000US12086000123,12,86,123,"Census Tract 1.23, Miami-Dade County, Florida",,4216,958,550,22.72,13.05,2356,585,55.88,13.88,902,504,21.39,11.95
1400000US12086000124,12,86,124,"Census Tract 1.24, Miami-Dade County, Florida",,2547,321,331,12.6,13,1176,374,46.17,14.68,1050,335,41.22,13.15
1400000US12086000125,12,86,125,"Census Tract 1.25, Miami-Dade County, Florida",,3802,779,504,20.49,13.26,1709,527,44.95,13.86,1314,443,34.56,11.65
1400000US12086000126,12,86,126,"Census Tract 1.26, Miami-Dade County, Florida",,1945,429,258,22.06,13.26,937,301,48.17,15.48,579,278,29.77,14.29
1400000US12086000127,12,86,127,"Census Tract 1.27, Miami-Dade County, Florida",,3323,971,420,29.22,12.64,1576,451,47.43,13.57,776,387,23.35,11.65
1400000US12086000128,12,86,128,"Census Tract 1.28, Miami-Dade County, Florida",,4191,1367,612,32.62,14.6,2043,643,48.75,15.34,781,524,18.64,12.5
1400000US12086000129,12,86,129,"Census Tract 1.29, Miami-Dade County, Florida",,2302,442,276,19.2,11.99,1253,333,54.43,14.47,607,311,26.37,13.51
1400000US12086000130,12,86,130,"Census Tract 1.30, Miami-Dade County, Florida",,2837,557,382,19.63,13.46,1223,409,43.11,14.42,1057,352,37.26,12.41
1400000US12086000131,12,86,131,"Census Tract 1.31, Miami-Dade County, Florida",,4737,1307,597,27.59,12.6,2565,622,54.15,13.13,865,522,18.26,11.02
1400000US12086000132,12,86,132,"Census Tract 1.32, Miami-Dade County, Florida",,4933,1024,590,20.76,11.96,2481,682,50.29,13.83,1428,634,28.95,12.85
1400000US12086000134,12,86,134,"Census Tract 1.34, Miami-Dade County, Florida",,3157,645,424,20.43,13.43,1112,467,35.22,14.79,1400,426,44.35,13.49
1400000US12086000140,12,86,140,"Census Tract 1.40, Miami-Dade County, Florida",,3221,1409,499,43.74,15.49,1304,521,40.48,16.18,508,417,15.77,12.95
1400000US12086000141,12,86,141,"Census Tract 1.41, Miami-Dade County, Florida",,2708,755,384,27.88,14.18,1479,390,54.62,14.4,474,291,17.5,10.75
1400000US12086000142,12,86,142,"Census Tract 1.42, Miami-Dade County, Florida",,6169,1723,718,27.93,11.64,3223,780,52.25,12.64,1223,677,19.82,10.97
1400000US12086000143,12,86,143,"Census Tract 1.43, Miami-Dade County, Florida",,2724,810,356,29.74,13.07,1331,390,48.86,14.32,583,348,21.4,12.78
1400000US12086000144,12,86,144,"Census Tract 1.44, Miami-Dade County, Florida",,1410,706,211,50.07,14.96,523,216,37.09,15.32,181,166,12.84,11.77
1400000US12086000145,12,86,145,"Census Tract 1.45, Miami-Dade County, Florida",,2333,763,317,32.7,13.59,753,322,32.28,13.8,817,243,35.02,10.42
1400000US12086000146,12,86,146,"Census Tract 1.46, Miami-Dade County, Florida",,4081,1162,476,28.47,11.66,2178,523,53.37,12.82,741,462,18.16,11.32
1400000US12086000204,12,86,204,"Census Tract 2.04, Miami-Dade County, Florida",,4409,799,621,18.12,14.08,2038,699,46.22,15.85,1572,609,35.65,13.81
1400000US12086000206,12,86,206,"Census Tract 2.06, Miami-Dade County, Florida",,5091,1163,637,22.84,12.51,2485,725,48.81,14.24,1443,639,28.34,12.55
1400000US12086000211,12,86,211,"Census Tract 2.11, Miami-Dade County, Florida",,3143,955,425,30.38,13.52,1500,472,47.73,15.02,688,402,21.89,12.79
1400000US12086000212,12,86,212,"Census Tract 2.12, Miami-Dade County, Florida",,5058,640,654,12.65,12.93,1785,732,35.29,14.47,2633,639,52.06,12.63
1400000US12086000213,12,86,213,"Census Tract 2.13, Miami-Dade County, Florida",,5237,800,661,15.28,12.62,2857,690,54.55,13.18,1580,560,30.17,10.69
